"Marker.A","Marker.B"
4607.10667881068,4447.82258816003
4311.03303540598,3695.541106489
4534.10177770152,3830.40275484488
2332.96359340064,1371.23634314417
4405.16311210493,6016.7200180977
2817.89871375737,458.973179734446
4030.38724133512,3060.73029379977
3819.85978625923,6934.32521761897
3832.09213372605,5403.27798413753
3685.18850035415,2082.65615896847
4821.25276000186,1294.22932750321
3699.0818563376,2546.00529839795
3982.20993098306,4750.62204553363
3300.8085054041,275.463461779562
2748.53933106732,2673.99026321918
3663.67046966139,4488.28687578374
4128.36445312398,5533.36601955428
7979.58862845585,1883.74504845678
4021.80873882554,6437.33160006904
4013.42049054992,5849.5209372051
4218.01288682081,5232.61233588955
3938.33994495679,4912.64960669503
4431.70479975412,6454.66528255648
3628.98088296386,5796.26950676278
3871.6335068252,6271.83747155226
4317.65580233202,6062.81039484845
3502.7272960735,4738.8011269657
3331.93298435263,6137.25998192568
4148.74120197752,6401.01594532209
4539.80882240773,5461.41677558176
4330.81664723688,3851.82840760533
2615.86301929632,3097.72780264047
4488.31090593013,4289.94408273065
4171.80644582956,6150.72919026567
3324.61621010627,6659.31623025799
3830.36734406066,4680.77608358425
4385.72648044317,5042.73721925652
3359.77470539366,3530.55842139944
2778.93234564582,837.13157440458
2251.80175823495,2062.13985642731
4481.62679905071,6602.31407373097
1796.34578573122,2536.74159696611
4287.77318707324,6370.09972928713
3940.31325897684,5814.39900283437
3997.35220982815,4424.46490975347
3951.00506151809,1312.18809576684
2624.79696980675,1582.99136479205
4710.94353327661,6188.46521580388
3586.52763433765,6364.58696536762
4765.69413232772,6418.57712393508
3506.92490297762,3419.05445145012
2398.69691459542,1581.91160390622
4907.08809234129,4477.94341346608
4131.2551594814,5712.55642968134
3486.99153567589,3696.96190013552
4230.83974981584,4472.65814567211
3216.65938572367,3976.23284558078
4058.43296469203,5691.41493565019
3893.879124989,5038.70233444253
3839.54201175515,4964.87772742766
4000.42248242902,5015.57172930626
3490.50116646563,5304.56115700682
3683.14609795284,3892.74726462488
7746.66386845602,1549.46063473436
4373.6049788937,6342.19508835649
4277.82706233727,4474.42018350693
4149.8090622948,6014.10550407496
7976.63782098875,5355.6530656775
4300.36463631289,3196.55816640633
9022.78972046416,3606.94024555041
8258.72044953494,2895.91823080437
4515.7006594034,4697.20020442478
3802.89382523559,4964.36649542807
4573.80677262534,4902.59030310667
5120.60403230123,5806.32881035113
3181.32283422218,2682.28774040033
4301.40700703479,6318.09868182479
4268.5949782338,5093.60163180166
4359.14447860166,3970.49300839097
4618.60950165605,4976.24407659976
3924.0697172273,673.626662706731
3930.67108063951,4022.94862524915
4595.58531512728,6292.80855491688
8517.00132578849,1009.10447966393
4537.76168717969,1914.7750125545
4261.01423470298,6233.0214737006
3874.53942788517,5152.99080622586
3907.62199024479,6503.71099466303
8478.36209975164,2161.424789589
3828.5854373145,3784.82361009372
3967.09087448873,5923.5159548865
7830.09147080057,4424.52157235723
3725.42176205252,5444.25350376084
3634.81943328699,3026.91540501278
3871.89114027908,4455.72236997673
4713.9467340904,654.92900774725
4231.26040675611,6084.34979567167
3813.57745920359,5748.30334411443
3967.45190996492,3553.46174183779
1916.03916765388,2208.82263477874
3900.04462022106,3905.98897683932
3833.69278063081,6247.57023149878
8582.88025288688,1275.47485136926
4039.48602793428,6400.05014392666
3499.4781270128,7008.83146729996
4709.03989337034,2995.65794478952
4034.01386930102,5552.68881314685
3052.0064424295,1255.46999225531
4356.60649012562,4946.97572748161
4065.41150406173,5128.32608223556
3969.68566775177,5432.94424004776
4262.98598909434,6195.28502530713
4441.90032329887,6072.0172222489
3663.57599090045,20.9140813204133
4286.10065126238,5600.59789033618
7431.9514925784,2554.92775564147
3348.97168807356,7071.80095714233
3826.85990532658,2424.10120352721
4620.35850462424,5748.01918538513
3928.57212700169,1723.93409452605
4824.39665283939,6921.08350540453
4303.56695325165,4496.86872312183
4842.9156765094,5633.16239614319
4559.46565582564,5307.91439915469
4086.72317585514,8040.8963949816
4339.15869009663,6723.53610308033
3251.51019420785,5926.64170090883
4787.06314670798,4947.94195173228
3830.67142616435,5791.55255642741
3899.17962956329,5667.71601305531
1949.8130205823,4151.1608747683
3875.94902570787,4888.66652537085
3966.35394584113,3496.8570692476
3908.37035009686,6347.30994548393
4427.38802736556,5851.33963764369
3188.40425530477,978.472105216841
3685.57118069229,3137.05545534698
4468.92931842557,4718.1712877894
3801.60890979182,3490.71932526572
1557.32788626787,648.22284059295
3739.56365975518,5656.80423327905
3558.26224519001,6565.8850937765
4449.91055380575,4826.26535298709
8576.8223447792,4128.88316867519
4212.4425177454,2630.8550103966
3563.98480572962,4372.91843168696
3670.52360947933,4467.60037400368
4087.66190768949,3086.87289689559
4493.72938434639,6244.89947772754
3401.73247999004,984.55308088115
4136.83010886354,5428.17020425337
4529.91978711832,5081.26948123413
4036.77167556478,4767.72865475079
4098.44378552849,6063.54912297358
4292.67058486637,3641.55094792154
3875.77031528003,4601.49579810888
3851.09404519503,5680.78731460323
4495.67776009648,5258.30036958954
4462.96172282329,3431.15974017498
5644.37128706313,6586.96950234864
2975.75709041812,2533.95688370447
4438.78508039823,4636.56106987584
2409.32232800269,340.592631964295
4106.71296502037,3058.9686788202
4911.10002561842,5862.535153294
4456.29254824185,5265.34725236309
3972.83981916255,4620.53443297214
4555.69808068855,4692.54033954842
3677.36553897055,4637.64061933404
3331.04907223244,2469.62347424698
4116.56096708257,4694.69986132007
4158.13295542218,4068.18652581199
4602.31990113788,5236.87471682909
4184.54473004817,2424.7263950172
4298.91609523188,5219.14312754957
8172.25966157321,3616.88580107599
7485.74239723296,601.450345463916
5092.01212518015,8394.50317944133
8633.27070397069,1105.77521594433
4614.79390444618,1862.20564763355
4093.63208434252,5183.85078251231
4472.42354124056,4359.90421559806
8543.27851817201,2369.20169474045
4721.06136072869,6399.70889973835
4235.27633285779,4400.7659871586
3275.43152088216,4554.66627037774
4315.17808365114,2977.86969290624
4812.75148077715,3923.208911264
4876.05961389885,7264.17641688006
4735.00571865922,5331.55623629055
4427.15031421688,4822.57128950616
3257.31127725397,4027.94973431382
4286.79153601149,2222.0074729618
4015.47536159614,5576.33065028271
4312.40935554076,4935.66646376852
3802.47257010288,3911.5584033626
4517.0888049927,5177.99677440447
4078.53750240474,6922.95886844687
3849.48724536136,3420.75940382594
4198.97836955403,4662.98783170097
4469.34623167251,5528.53532115614
3473.75454519328,1919.66258498403
